timestamp,x_des,y_des,x_act,y_act,yaw_act,sliding_surface_x,sliding_surface_y,cmd_vel_linear_x,cmd_vel_angular_z
1775746622.3162413,2.598418138192546,1.4994076093951174,2.697049344566297,1.4017830779482248,2.068767204502247,0.13287896760988172,0.04002304308643732,0.1298454921126523,0.07924553588266148
1775746622.3363895,2.598418138192546,1.4994076093951174,2.699067333875185,1.4029985890859693,2.070582136897737,0.13285164793393275,0.04213548895848142,0.1298454921126523,0.07924553588266148
1775746622.356384,2.5932986177908113,1.508244767590549,2.700712460306624,1.4040558040484536,2.0706244854341365,0.1429237398168434,0.04433822599918931,0.13915418609559724,0.08076266388459022
1775746622.3766265,2.5932986177908113,1.508244767590549,2.7014274247189443,1.405513185858257,2.0722851167278944,0.14206294688484009,0.04542836003330032,0.13915418609559724,0.08076266388459022
1775746622.3963745,2.5932986177908113,1.508244767590549,2.7011049353953154,1.4073681322395137,2.0751683434684143,0.14041352603733723,0.045632656956953295,0.13915418609559724,0.08076266388459022
1775746622.4163547,2.588251016049424,1.5168904633885483,2.699882527316383,1.4094535333732978,2.078339662334073,0.14815001246006695,0.045341614957222616,0.14506670240044886,0.07244076362362101
1775746622.4365945,2.588251016049424,1.5168904633885483,2.6978966394668773,1.4117209773851167,2.0813725368246145,0.1453381213735099,0.04426752756193708,0.14506670240044886,0.07244076362362101
1775746622.4566429,2.5831440370069148,1.5255710026333151,2.6952535960452524,1.4141866069866664,2.0842095919844312,0.15208693675481183,0.04294881243850118,0.14756380877396794,0.06013598793370743
1775746622.476346,2.5831440370069148,1.5255710026333151,2.692048725957673,1.4168484413001565,2.086829630078605,0.14830233163152656,0.041076088554736066,0.14756380877396794,0.06013598793370743
1775746622.4965053,2.5831440370069148,1.5255710026333151,2.6883643398057817,1.419695348716497,2.0890825831833983,0.1440962601133271,0.03895168847112385,0.14756380877396794,0.06013598793370743
1775746622.5169451,2.578181394871044,1.5339428591511477,2.6842384125584737,1.4227241029378024,2.090885698771657,0.14921868149068826,0.036762587348768354,0.1491507578008964,0.05525645705946671
1775746622.536773,2.578181394871044,1.5339428591511477,2.679692754292053,1.4259509077263797,2.092237387482206,0.14420593739088303,0.03422667505393163,0.1491507578008964,0.05525645705946671
1775746622.556264,2.573045472153775,1.5425423813396357,2.6747521165799886,1.4293819834730979,2.093257205248769,0.1488171609617403,0.03166969796257647,0.14708902890966757,0.05418237702223525
1775746622.5762937,2.573045472153775,1.5425423813396357,2.6694791225629,1.4329413634687251,2.0939413633050976,0.1431210477985039,0.02877842467244089,0.14708902890966757,0.05418237702223525
1775746622.5962918,2.573045472153775,1.5425423813396357,2.664176850024591,1.4362337445411237,2.093948403089453,0.13762014486858376,0.02582924731658623,0.14708902890966757,0.05418237702223525
1775746622.6164653,2.567908529127383,1.5510789103185045,2.6591043455145194,1.439287850963922,2.093935387758924,0.14240117916196462,0.023147830382525304,0.14343983687299786,0.060630387410902445
1775746622.6363878,2.567908529127383,1.5510789103185045,2.6542599733626324,1.4420210621488125,2.093967202661527,0.13761390999700454,0.02031250708931158,0.14343983687299786,0.060630387410902445
1775746622.6562662,2.5627210771214273,1.5596347908653456,2.6495420581979454,1.4443741663971026,2.0940795441747966,0.14322357140923292,0.01760405921038738,0.14141450736425534,0.07040077909502826
1775746622.6764925,2.5627210771214273,1.5596347908653456,2.6447781894397617,1.4463922392676878,2.094354841467687,0.1390989010602957,0.014447868292243662,0.14141450736425534,0.07040077909502826
1775746622.6962209,2.5627210771214273,1.5596347908653456,2.639849524063452,1.4481544330824565,2.094995105952437,0.13511565406231502,0.010973947621640702,0.14141450736425534,0.07040077909502826
1775746622.716408,2.557501753222534,1.5681788106793388,2.634690256756657,1.4497522577195154,2.0959258217618446,0.1411661751406522,0.007417851437031657,0.1411822653121164,0.07747205269374544
1775746622.7362835,2.557501753222534,1.5681788106793388,2.6292682534956557,1.4513051442343423,2.0970453446377246,0.13710817788853258,0.003351421464812515,0.1411822653121164,0.07747205269374544
1775746622.756281,2.552248555566547,1.5767140865129838,2.6235603876261737,1.4529144579297688,2.0981983632896237,0.14286796617908742,-0.0006853239332702543,0.14109356751338628,0.07959985455763138
1775746622.7762578,2.552248555566547,1.5767140865129838,2.6175347916575693,1.4546781379073983,2.0993655062930228,0.13830538146821159,-0.005165929919219318,0.14109356751338628,0.07959985455763138
1775746622.7967439,2.552248555566547,1.5767140865129838,2.6111848254396657,1.4566445441925162,2.100498555778745,0.1333940261866612,-0.00980880611063227,0.14109356751338628,0.07959985455763138
1775746622.8164017,2.5469811850955644,1.5852087694588355,2.605139974692497,1.4584642354126984,2.101836335345444,0.13874276266829522,-0.014038074124385971,0.13958058263696257,0.08096949458110941
1775746622.8366957,2.5469811850955644,1.5852087694588355,2.5997758072873083,1.460097738586776,2.1046000692129136,0.1345678380866684,-0.018208216027898384,0.13958058263696257,0.08096949458110941
